Freq.	V(clh)
1.00000000000000e+002	(-7.28094429623084e+001dB,1.08216315215344e+002°)
1.00347174850950e+002	(-7.27763165439015e+001dB,1.08275210848994e+002°)
1.00695555005672e+002	(-7.27431712157214e+001dB,1.08334269219453e+002°)
1.01045144648676e+002	(-7.27100068728255e+001dB,1.08393490514486e+002°)
1.01395947979003e+002	(-7.26768234098562e+001dB,1.08452874919468e+002°)
1.01747969210269e+002	(-7.26436207210405e+001dB,1.08512422617364e+002°)
1.02101212570719e+002	(-7.26103987001909e+001dB,1.08572133788697e+002°)
1.02455682303280e+002	(-7.25771572407061e+001dB,1.08632008611523e+002°)
1.02811382665607e+002	(-7.25438962355711e+001dB,1.08692047261405e+002°)
1.03168317930136e+002	(-7.25106155773584e+001dB,1.08752249911382e+002°)
1.03526492384138e+002	(-7.24773151582280e+001dB,1.08812616731944e+002°)
1.03885910329766e+002	(-7.24439948699286e+001dB,1.08873147891003e+002°)
1.04246576084112e+002	(-7.24106546037979e+001dB,1.08933843553867e+002°)
1.04608493979253e+002	(-7.23772942507638e+001dB,1.08994703883211e+002°)
1.04971668362307e+002	(-7.23439137013446e+001dB,1.09055729039048e+002°)
1.05336103595484e+002	(-7.23105128456504e+001dB,1.09116919178703e+002°)
1.05701804056138e+002	(-7.22770915733834e+001dB,1.09178274456785e+002°)
1.06068774136822e+002	(-7.22436497738394e+001dB,1.09239795025155e+002°)
1.06437018245336e+002	(-7.22101873359079e+001dB,1.09301481032903e+002°)
1.06806540804785e+002	(-7.21767041480741e+001dB,1.09363332626314e+002°)
1.07177346253629e+002	(-7.21432000984188e+001dB,1.09425349948844e+002°)
1.07549439045738e+002	(-7.21096750746203e+001dB,1.09487533141089e+002°)
1.07922823650443e+002	(-7.20761289639551e+001dB,1.09549882340757e+002°)
1.08297504552593e+002	(-7.20425616532990e+001dB,1.09612397682638e+002°)
1.08673486252606e+002	(-7.20089730291282e+001dB,1.09675079298578e+002°)
1.09050773266526e+002	(-7.19753629775207e+001dB,1.09737927317445e+002°)
1.09429370126074e+002	(-7.19417313841575e+001dB,1.09800941865105e+002°)
1.09809281378705e+002	(-7.19080781343238e+001dB,1.09864123064390e+002°)
1.10190511587661e+002	(-7.18744031129101e+001dB,1.09927471035069e+002°)
1.10573065332027e+002	(-7.18407062044139e+001dB,1.09990985893819e+002°)
1.10956947206785e+002	(-7.18069872929410e+001dB,1.10054667754196e+002°)
1.11342161822869e+002	(-7.17732462622068e+001dB,1.10118516726605e+002°)
1.11728713807222e+002	(-7.17394829955379e+001dB,1.10182532918268e+002°)
1.12116607802851e+002	(-7.17056973758735e+001dB,1.10246716433201e+002°)
1.12505848468881e+002	(-7.16718892857671e+001dB,1.10311067372177e+002°)
1.12896440480613e+002	(-7.16380586073882e+001dB,1.10375585832700e+002°)
1.13288388529580e+002	(-7.16042052225235e+001dB,1.10440271908973e+002°)
1.13681697323602e+002	(-7.15703290125791e+001dB,1.10505125691872e+002°)
1.14076371586843e+002	(-7.15364298585820e+001dB,1.10570147268912e+002°)
1.14472416059869e+002	(-7.15025076411818e+001dB,1.10635336724219e+002°)
1.14869835499704e+002	(-7.14685622406527e+001dB,1.10700694138497e+002°)
1.15268634679887e+002	(-7.14345935368953e+001dB,1.10766219589003e+002°)
1.15668818390529e+002	(-7.14006014094385e+001dB,1.10831913149512e+002°)
1.16070391438372e+002	(-7.13665857374414e+001dB,1.10897774890290e+002°)
1.16473358646846e+002	(-7.13325463996956e+001dB,1.10963804878063e+002°)
1.16877724856125e+002	(-7.12984832746267e+001dB,1.11030003175983e+002°)
1.17283494923188e+002	(-7.12643962402971e+001dB,1.11096369843604e+002°)
1.17690673721877e+002	(-7.12302851744074e+001dB,1.11162904936846e+002°)
1.18099266142953e+002	(-7.11961499542992e+001dB,1.11229608507968e+002°)
1.18509277094158e+002	(-7.11619904569572e+001dB,1.11296480605536e+002°)
1.18920711500272e+002	(-7.11278065590112e+001dB,1.11363521274394e+002°)
1.19333574303172e+002	(-7.10935981367388e+001dB,1.11430730555630e+002°)
1.19747870461893e+002	(-7.10593650660674e+001dB,1.11498108486549e+002°)
1.20163604952685e+002	(-7.10251072225772e+001dB,1.11565655100643e+002°)
1.20580782769076e+002	(-7.09908244815031e+001dB,1.11633370427556e+002°)
1.20999408921930e+002	(-7.09565167177376e+001dB,1.11701254493056e+002°)
1.21419488439505e+002	(-7.09221838058332e+001dB,1.11769307319008e+002°)
1.21841026367519e+002	(-7.08878256200052e+001dB,1.11837528923336e+002°)
1.22264027769207e+002	(-7.08534420341343e+001dB,1.11905919319998e+002°)
1.22688497725381e+002	(-7.08190329217691e+001dB,1.11974478518953e+002°)
1.23114441334492e+002	(-7.07845981561295e+001dB,1.12043206526131e+002°)
1.23541863712693e+002	(-7.07501376101089e+001dB,1.12112103343404e+002°)
1.23970769993899e+002	(-7.07156511562773e+001dB,1.12181168968553e+002°)
1.24401165329847e+002	(-7.06811386668844e+001dB,1.12250403395237e+002°)
1.24833054890162e+002	(-7.06466000138627e+001dB,1.12319806612965e+002°)
1.25266443862413e+002	(-7.06120350688298e+001dB,1.12389378607064e+002°)
1.25701337452183e+002	(-7.05774437030925e+001dB,1.12459119358649e+002°)
1.26137740883125e+002	(-7.05428257876492e+001dB,1.12529028844592e+002°)
1.26575659397028e+002	(-7.05081811931937e+001dB,1.12599107037491e+002°)
1.27015098253879e+002	(-7.04735097901177e+001dB,1.12669353905642e+002°)
1.27456062731927e+002	(-7.04388114485150e+001dB,1.12739769413007e+002°)
1.27898558127743e+002	(-7.04040860381841e+001dB,1.12810353519181e+002°)
1.28342589756291e+002	(-7.03693334286321e+001dB,1.12881106179368e+002°)
1.28788162950983e+002	(-7.03345534890780e+001dB,1.12952027344345e+002°)
1.29235283063750e+002	(-7.02997460884564e+001dB,1.13023116960434e+002°)
1.29683955465101e+002	(-7.02649110954205e+001dB,1.13094374969474e+002°)
1.30134185544194e+002	(-7.02300483783466e+001dB,1.13165801308786e+002°)
1.30585978708892e+002	(-7.01951578053372e+001dB,1.13237395911149e+002°)
1.31039340385837e+002	(-7.01602392442250e+001dB,1.13309158704765e+002°)
1.31494276020508e+002	(-7.01252925625764e+001dB,1.13381089613231e+002°)
1.31950791077290e+002	(-7.00903176276958e+001dB,1.13453188555511e+002°)
1.32408891039540e+002	(-7.00553143066293e+001dB,1.13525455445904e+002°)
1.32868581409652e+002	(-7.00202824661685e+001dB,1.13597890194015e+002°)
1.33329867709120e+002	(-6.99852219728549e+001dB,1.13670492704726e+002°)
1.33792755478612e+002	(-6.99501326929836e+001dB,1.13743262878168e+002°)
1.34257250278027e+002	(-6.99150144926078e+001dB,1.13816200609686e+002°)
1.34723357686569e+002	(-6.98798672375426e+001dB,1.13889305789820e+002°)
1.35191083302813e+002	(-6.98446907933698e+001dB,1.13962578304264e+002°)
1.35660432744768e+002	(-6.98094850254416e+001dB,1.14036018033846e+002°)
1.36131411649948e+002	(-6.97742497988855e+001dB,1.14109624854497e+002°)
1.36604025675440e+002	(-6.97389849786082e+001dB,1.14183398637219e+002°)
1.37078280497971e+002	(-6.97036904293007e+001dB,1.14257339248061e+002°)
1.37554181813975e+002	(-6.96683660154423e+001dB,1.14331446548087e+002°)
1.38031735339663e+002	(-6.96330116013054e+001dB,1.14405720393351e+002°)
1.38510946811093e+002	(-6.95976270509602e+001dB,1.14480160634865e+002°)
1.38991821984234e+002	(-6.95622122282796e+001dB,1.14554767118575e+002°)
1.39474366635041e+002	(-6.95267669969434e+001dB,1.14629539685330e+002°)
1.39958586559520e+002	(-6.94912912204437e+001dB,1.14704478170856e+002°)
1.40444487573800e+002	(-6.94557847620894e+001dB,1.14779582405727e+002°)
1.40932075514202e+002	(-6.94202474850116e+001dB,1.14854852215341e+002°)
1.41421356237310e+002	(-6.93846792521679e+001dB,1.14930287419890e+002°)
1.41912335620039e+002	(-6.93490799263483e+001dB,1.15005887834331e+002°)
1.42405019559708e+002	(-6.93134493701796e+001dB,1.15081653268365e+002°)
1.42899413974110e+002	(-6.92777874461308e+001dB,1.15157583526405e+002°)
1.43395524801583e+002	(-6.92420940165186e+001dB,1.15233678407553e+002°)
1.43893358001083e+002	(-6.92063689435126e+001dB,1.15309937705572e+002°)
1.44392919552250e+002	(-6.91706120891400e+001dB,1.15386361208861e+002°)
1.44894215455488e+002	(-6.91348233152922e+001dB,1.15462948700427e+002°)
1.45397251732032e+002	(-6.90990024837290e+001dB,1.15539699957862e+002°)
1.45902034424018e+002	(-6.90631494560851e+001dB,1.15616614753319e+002°)
1.46408569594563e+002	(-6.90272640938752e+001dB,1.15693692853480e+002°)
1.46916863327831e+002	(-6.89913462584997e+001dB,1.15770934019539e+002°)
1.47426921729111e+002	(-6.89553958112504e+001dB,1.15848338007174e+002°)
1.47938750924884e+002	(-6.89194126133163e+001dB,1.15925904566520e+002°)
1.48452357062906e+002	(-6.88833965257893e+001dB,1.16003633442149e+002°)
1.48967746312271e+002	(-6.88473474096704e+001dB,1.16081524373045e+002°)
1.49484924863494e+002	(-6.88112651258750e+001dB,1.16159577092579e+002°)
1.50003898928582e+002	(-6.87751495352395e+001dB,1.16237791328485e+002°)
1.50524674741107e+002	(-6.87390004985269e+001dB,1.16316166802840e+002°)
1.51047258556283e+002	(-6.87028178764332e+001dB,1.16394703232038e+002°)
1.51571656651040e+002	(-6.86666015295933e+001dB,1.16473400326770e+002°)
1.52097875324102e+002	(-6.86303513185872e+001dB,1.16552257791998e+002°)
1.52625920896057e+002	(-6.85940671039466e+001dB,1.16631275326938e+002°)
1.53155799709439e+002	(-6.85577487461609e+001dB,1.16710452625033e+002°)
1.53687518128802e+002	(-6.85213961056834e+001dB,1.16789789373936e+002°)
1.54221082540795e+002	(-6.84850090429381e+001dB,1.16869285255486e+002°)
1.54756499354240e+002	(-6.84485874183263e+001dB,1.16948939945690e+002°)
1.55293775000209e+002	(-6.84121310922324e+001dB,1.17028753114697e+002°)
1.55832915932101e+002	(-6.83756399250311e+001dB,1.17108724426786e+002°)
1.56373928625719e+002	(-6.83391137770941e+001dB,1.17188853540338e+002°)
1.56916819579351e+002	(-6.83025525087963e+001dB,1.17269140107822e+002°)
1.57461595313841e+002	(-6.82659559805228e+001dB,1.17349583775774e+002°)
1.58008262372676e+002	(-6.82293240526759e+001dB,1.17430184184778e+002°)
1.58556827322058e+002	(-6.81926565856817e+001dB,1.17510940969448e+002°)
1.59107296750985e+002	(-6.81559534399969e+001dB,1.17591853758410e+002°)
1.59659677271331e+002	(-6.81192144761162e+001dB,1.17672922174281e+002°)
1.60213975517925e+002	(-6.80824395545787e+001dB,1.17754145833660e+002°)
1.60770198148631e+002	(-6.80456285359754e+001dB,1.17835524347100e+002°)
1.61328351844426e+002	(-6.80087812809562e+001dB,1.17917057319100e+002°)
1.61888443309483e+002	(-6.79718976502371e+001dB,1.17998744348085e+002°)
1.62450479271248e+002	(-6.79349775046071e+001dB,1.18080585026392e+002°)
1.63014466480526e+002	(-6.78980207049359e+001dB,1.18162578940250e+002°)
1.63580411711557e+002	(-6.78610271121809e+001dB,1.18244725669772e+002°)
1.64148321762100e+002	(-6.78239965873946e+001dB,1.18327024788934e+002°)
1.64718203453515e+002	(-6.77869289917321e+001dB,1.18409475865566e+002°)
1.65290063630843e+002	(-6.77498241864584e+001dB,1.18492078461333e+002°)
1.65863909162889e+002	(-6.77126820329560e+001dB,1.18574832131725e+002°)
1.66439746942306e+002	(-6.76755023927324e+001dB,1.18657736426046e+002°)
1.67017583885675e+002	(-6.76382851274278e+001dB,1.18740790887394e+002°)
1.67597426933591e+002	(-6.76010300988224e+001dB,1.18823995052657e+002°)
1.68179283050744e+002	(-6.75637371688445e+001dB,1.18907348452498e+002°)
1.68763159226004e+002	(-6.75264061995777e+001dB,1.18990850611341e+002°)
1.69349062472506e+002	(-6.74890370532694e+001dB,1.19074501047366e+002°)
1.69936999827731e+002	(-6.74516295923377e+001dB,1.19158299272495e+002°)
1.70526978353592e+002	(-6.74141836793799e+001dB,1.19242244792383e+002°)
1.71119005136521e+002	(-6.73766991771803e+001dB,1.19326337106407e+002°)
