Freq.	V(ch_full)
1.00000000000000e+002	(-3.74938150448871e+001dB,-9.09678825001168e+001°)
1.00347174850950e+002	(-3.74637160968171e+001dB,-9.09708963494629e+001°)
1.00695555005672e+002	(-3.74336171765420e+001dB,-9.09739218584375e+001°)
1.01045144648676e+002	(-3.74035182842577e+001dB,-9.09769590633586e+001°)
1.01395947979003e+002	(-3.73734194201615e+001dB,-9.09800080006848e+001°)
1.01747969210269e+002	(-3.73433205844520e+001dB,-9.09830687070150e+001°)
1.02101212570719e+002	(-3.73132217773293e+001dB,-9.09861412190894e+001°)
1.02455682303280e+002	(-3.72831229989947e+001dB,-9.09892255737899e+001°)
1.02811382665607e+002	(-3.72530242496509e+001dB,-9.09923218081401e+001°)
1.03168317930136e+002	(-3.72229255295023e+001dB,-9.09954299593063e+001°)
1.03526492384138e+002	(-3.71928268387542e+001dB,-9.09985500645975e+001°)
1.03885910329766e+002	(-3.71627281776137e+001dB,-9.10016821614662e+001°)
1.04246576084112e+002	(-3.71326295462891e+001dB,-9.10048262875085e+001°)
1.04608493979253e+002	(-3.71025309449903e+001dB,-9.10079824804649e+001°)
1.04971668362307e+002	(-3.70724323739286e+001dB,-9.10111507782206e+001°)
1.05336103595484e+002	(-3.70423338333167e+001dB,-9.10143312188058e+001°)
1.05701804056138e+002	(-3.70122353233686e+001dB,-9.10175238403962e+001°)
1.06068774136822e+002	(-3.69821368443002e+001dB,-9.10207286813139e+001°)
1.06437018245336e+002	(-3.69520383963285e+001dB,-9.10239457800271e+001°)
1.06806540804785e+002	(-3.69219399796721e+001dB,-9.10271751751512e+001°)
1.07177346253629e+002	(-3.68918415945512e+001dB,-9.10304169054490e+001°)
1.07549439045738e+002	(-3.68617432411875e+001dB,-9.10336710098312e+001°)
1.07922823650443e+002	(-3.68316449198040e+001dB,-9.10369375273566e+001°)
1.08297504552593e+002	(-3.68015466306255e+001dB,-9.10402164972332e+001°)
1.08673486252606e+002	(-3.67714483738783e+001dB,-9.10435079588180e+001°)
1.09050773266526e+002	(-3.67413501497902e+001dB,-9.10468119516179e+001°)
1.09429370126074e+002	(-3.67112519585905e+001dB,-9.10501285152899e+001°)
1.09809281378705e+002	(-3.66811538005102e+001dB,-9.10534576896418e+001°)
1.10190511587661e+002	(-3.66510556757818e+001dB,-9.10567995146325e+001°)
1.10573065332027e+002	(-3.66209575846395e+001dB,-9.10601540303727e+001°)
1.10956947206785e+002	(-3.65908595273191e+001dB,-9.10635212771249e+001°)
1.11342161822869e+002	(-3.65607615040580e+001dB,-9.10669012953046e+001°)
1.11728713807222e+002	(-3.65306635150951e+001dB,-9.10702941254802e+001°)
1.12116607802851e+002	(-3.65005655606711e+001dB,-9.10736998083736e+001°)
