Freq.	V(oh)
1.00000000000000e+002	(-6.87758465433198e+001dB,1.16233924544241e+002°)
1.00347174850950e+002	(-6.87397001256126e+001dB,1.16312295258571e+002°)
1.00695555005672e+002	(-6.87035201334045e+001dB,1.16390826977413e+002°)
1.01045144648676e+002	(-6.86673064273347e+001dB,1.16469519412000e+002°)
1.01395947979003e+002	(-6.86310588679875e+001dB,1.16548372267840e+002°)
1.01747969210269e+002	(-6.85947773158976e+001dB,1.16627385244692e+002°)
1.02101212570719e+002	(-6.85584616315574e+001dB,1.16706558036551e+002°)
1.02455682303280e+002	(-6.85221116754227e+001dB,1.16785890331619e+002°)
1.02811382665607e+002	(-6.84857273079194e+001dB,1.16865381812286e+002°)
1.03168317930136e+002	(-6.84493083894501e+001dB,1.16945032155113e+002°)
1.03526492384138e+002	(-6.84128547804001e+001dB,1.17024841030808e+002°)
1.03885910329766e+002	(-6.83763663411446e+001dB,1.17104808104205e+002°)
1.04246576084112e+002	(-6.83398429320550e+001dB,1.17184933034247e+002°)
1.04608493979253e+002	(-6.83032844135054e+001dB,1.17265215473964e+002°)
1.04971668362307e+002	(-6.82666906458800e+001dB,1.17345655070456e+002°)
1.05336103595484e+002	(-6.82300614895792e+001dB,1.17426251464872e+002°)
1.05701804056138e+002	(-6.81933968050267e+001dB,1.17507004292393e+002°)
1.06068774136822e+002	(-6.81566964526765e+001dB,1.17587913182213e+002°)
1.06437018245336e+002	(-6.81199602930197e+001dB,1.17668977757523e+002°)
1.06806540804785e+002	(-6.80831881865917e+001dB,1.17750197635491e+002°)
1.07177346253629e+002	(-6.80463799939790e+001dB,1.17831572427246e+002°)
1.07549439045738e+002	(-6.80095355758264e+001dB,1.17913101737863e+002°)
1.07922823650443e+002	(-6.79726547928442e+001dB,1.17994785166343e+002°)
1.08297504552593e+002	(-6.79357375058154e+001dB,1.18076622305601e+002°)
1.08673486252606e+002	(-6.78987835756028e+001dB,1.18158612742449e+002°)
1.09050773266526e+002	(-6.78617928631565e+001dB,1.18240756057580e+002°)
1.09429370126074e+002	(-6.78247652295211e+001dB,1.18323051825556e+002°)
1.09809281378705e+002	(-6.77877005358432e+001dB,1.18405499614788e+002°)
1.10190511587661e+002	(-6.77505986433788e+001dB,1.18488098987531e+002°)
1.10573065332027e+002	(-6.77134594135008e+001dB,1.18570849499861e+002°)
1.10956947206785e+002	(-6.76762827077064e+001dB,1.18653750701670e+002°)
1.11342161822869e+002	(-6.76390683876248e+001dB,1.18736802136649e+002°)
1.11728713807222e+002	(-6.76018163150249e+001dB,1.18820003342277e+002°)
1.12116607802851e+002	(-6.75645263518228e+001dB,1.18903353849808e+002°)
1.12505848468881e+002	(-6.75271983600898e+001dB,1.18986853184263e+002°)
1.12896440480613e+002	(-6.74898322020595e+001dB,1.19070500864416e+002°)
1.13288388529580e+002	(-6.74524277401366e+001dB,1.19154296402785e+002°)
1.13681697323602e+002	(-6.74149848369037e+001dB,1.19238239305624e+002°)
1.14076371586843e+002	(-6.73775033551300e+001dB,1.19322329072908e+002°)
1.14472416059869e+002	(-6.73399831577787e+001dB,1.19406565198332e+002°)
1.14869835499704e+002	(-6.73024241080151e+001dB,1.19490947169295e+002°)
1.15268634679887e+002	(-6.72648260692148e+001dB,1.19575474466897e+002°)
1.15668818390529e+002	(-6.72271889049716e+001dB,1.19660146565932e+002°)
1.16070391438372e+002	(-6.71895124791054e+001dB,1.19744962934874e+002°)
1.16473358646846e+002	(-6.71517966556704e+001dB,1.19829923035882e+002°)
1.16877724856125e+002	(-6.71140412989636e+001dB,1.19915026324781e+002°)
1.17283494923188e+002	(-6.70762462735325e+001dB,1.20000272251070e+002°)
1.17690673721877e+002	(-6.70384114441836e+001dB,1.20085660257905e+002°)
1.18099266142953e+002	(-6.70005366759905e+001dB,1.20171189782103e+002°)
1.18509277094158e+002	(-6.69626218343023e+001dB,1.20256860254135e+002°)
1.18920711500272e+002	(-6.69246667847518e+001dB,1.20342671098120e+002°)
1.19333574303172e+002	(-6.68866713932642e+001dB,1.20428621731829e+002°)
1.19747870461893e+002	(-6.68486355260647e+001dB,1.20514711566677e+002°)
