Freq.	V(oh_full)
1.00000000000000e+002	(-3.74939786424875e+001dB,-9.10693910401955e+001°)
1.00347174850950e+002	(-3.74638808321996e+001dB,-9.10727572216866e+001°)
1.00695555005672e+002	(-3.74337830576186e+001dB,-9.10761362851791e+001°)
1.01045144648676e+002	(-3.74036853189956e+001dB,-9.10795282712260e+001°)
1.01395947979003e+002	(-3.73735876165832e+001dB,-9.10829332205355e+001°)
1.01747969210269e+002	(-3.73434899506357e+001dB,-9.10863511739709e+001°)
1.02101212570719e+002	(-3.73133923214094e+001dB,-9.10897821725514e+001°)
1.02455682303280e+002	(-3.72832947291623e+001dB,-9.10932262574525e+001°)
1.02811382665607e+002	(-3.72531971741539e+001dB,-9.10966834700067e+001°)
1.03168317930136e+002	(-3.72230996566459e+001dB,-9.11001538517035e+001°)
1.03526492384138e+002	(-3.71930021769015e+001dB,-9.11036374441904e+001°)
1.03885910329766e+002	(-3.71629047351858e+001dB,-9.11071342892732e+001°)
1.04246576084112e+002	(-3.71328073317657e+001dB,-9.11106444289165e+001°)
1.04608493979253e+002	(-3.71027099669101e+001dB,-9.11141679052440e+001°)
1.04971668362307e+002	(-3.70726126408895e+001dB,-9.11177047605395e+001°)
1.05336103595484e+002	(-3.70425153539765e+001dB,-9.11212550372469e+001°)
1.05701804056138e+002	(-3.70124181064454e+001dB,-9.11248187779709e+001°)
1.06068774136822e+002	(-3.69823208985725e+001dB,-9.11283960254776e+001°)
1.06437018245336e+002	(-3.69522237306359e+001dB,-9.11319868226950e+001°)
1.06806540804785e+002	(-3.69221266029157e+001dB,-9.11355912127132e+001°)
1.07177346253629e+002	(-3.68920295156940e+001dB,-9.11392092387853e+001°)
1.07549439045738e+002	(-3.68619324692546e+001dB,-9.11428409443279e+001°)
1.07922823650443e+002	(-3.68318354638835e+001dB,-9.11464863729211e+001°)
1.08297504552593e+002	(-3.68017384998686e+001dB,-9.11501455683098e+001°)
1.08673486252606e+002	(-3.67716415774998e+001dB,-9.11538185744035e+001°)
1.09050773266526e+002	(-3.67415446970689e+001dB,-9.11575054352774e+001°)
1.09429370126074e+002	(-3.67114478588697e+001dB,-9.11612061951726e+001°)
1.09809281378705e+002	(-3.66813510631983e+001dB,-9.11649208984965e+001°)
1.10190511587661e+002	(-3.66512543103525e+001dB,-9.11686495898239e+001°)
1.10573065332027e+002	(-3.66211576006325e+001dB,-9.11723923138968e+001°)
1.10956947206785e+002	(-3.65910609343401e+001dB,-9.11761491156253e+001°)
1.11342161822869e+002	(-3.65609643117797e+001dB,-9.11799200400885e+001°)
1.11728713807222e+002	(-3.65308677332574e+001dB,-9.11837051325343e+001°)
1.12116607802851e+002	(-3.65007711990817e+001dB,-9.11875044383804e+001°)
1.12505848468881e+002	(-3.64706747095631e+001dB,-9.11913180032147e+001°)
1.12896440480613e+002	(-3.64405782650141e+001dB,-9.11951458727960e+001°)
1.13288388529580e+002	(-3.64104818657497e+001dB,-9.11989880930542e+001°)
1.13681697323602e+002	(-3.63803855120868e+001dB,-9.12028447100914e+001°)
1.14076371586843e+002	(-3.63502892043445e+001dB,-9.12067157701819e+001°)
1.14472416059869e+002	(-3.63201929428443e+001dB,-9.12106013197729e+001°)
1.14869835499704e+002	(-3.62900967279097e+001dB,-9.12145014054853e+001°)
1.15268634679887e+002	(-3.62600005598665e+001dB,-9.12184160741139e+001°)
1.15668818390529e+002	(-3.62299044390430e+001dB,-9.12223453726285e+001°)
1.16070391438372e+002	(-3.61998083657693e+001dB,-9.12262893481736e+001°)
1.16473358646846e+002	(-3.61697123403781e+001dB,-9.12302480480697e+001°)
1.16877724856125e+002	(-3.61396163632044e+001dB,-9.12342215198137e+001°)
1.17283494923188e+002	(-3.61095204345854e+001dB,-9.12382098110793e+001°)
1.17690673721877e+002	(-3.60794245548607e+001dB,-9.12422129697175e+001°)
1.18099266142953e+002	(-3.60493287243722e+001dB,-9.12462310437576e+001°)
1.18509277094158e+002	(-3.60192329434641e+001dB,-9.12502640814072e+001°)
1.18920711500272e+002	(-3.59891372124832e+001dB,-9.12543121310533e+001°)
1.19333574303172e+002	(-3.59590415317785e+001dB,-9.12583752412625e+001°)
1.19747870461893e+002	(-3.59289459017015e+001dB,-9.12624534607818e+001°)
1.20163604952685e+002	(-3.58988503226060e+001dB,-9.12665468385389e+001°)
1.20580782769076e+002	(-3.58687547948485e+001dB,-9.12706554236433e+001°)
1.20999408921930e+002	(-3.58386593187878e+001dB,-9.12747792653862e+001°)
1.21419488439505e+002	(-3.58085638947851e+001dB,-9.12789184132418e+001°)
1.21841026367519e+002	(-3.57784685232042e+001dB,-9.12830729168672e+001°)
1.22264027769207e+002	(-3.57483732044116e+001dB,-9.12872428261035e+001°)
1.22688497725381e+002	(-3.57182779387759e+001dB,-9.12914281909763e+001°)
1.23114441334492e+002	(-3.56881827266686e+001dB,-9.12956290616960e+001°)
1.23541863712693e+002	(-3.56580875684637e+001dB,-9.12998454886586e+001°)
1.23970769993899e+002	(-3.56279924645377e+001dB,-9.13040775224467e+001°)
1.24401165329847e+002	(-3.55978974152698e+001dB,-9.13083252138291e+001°)
1.24833054890162e+002	(-3.55678024210418e+001dB,-9.13125886137625e+001°)
1.25266443862413e+002	(-3.55377074822380e+001dB,-9.13168677733914e+001°)
1.25701337452183e+002	(-3.55076125992457e+001dB,-9.13211627440489e+001°)
1.26137740883125e+002	(-3.54775177724544e+001dB,-9.13254735772574e+001°)
1.26575659397028e+002	(-3.54474230022568e+001dB,-9.13298003247291e+001°)
1.27015098253879e+002	(-3.54173282890480e+001dB,-9.13341430383667e+001°)
1.27456062731927e+002	(-3.53872336332258e+001dB,-9.13385017702640e+001°)
1.27898558127743e+002	(-3.53571390351910e+001dB,-9.13428765727063e+001°)
1.28342589756291e+002	(-3.53270444953470e+001dB,-9.13472674981714e+001°)
1.28788162950983e+002	(-3.52969500141000e+001dB,-9.13516745993301e+001°)
1.29235283063750e+002	(-3.52668555918591e+001dB,-9.13560979290465e+001°)
1.29683955465101e+002	(-3.52367612290361e+001dB,-9.13605375403791e+001°)
1.30134185544194e+002	(-3.52066669260458e+001dB,-9.13649934865810e+001°)
1.30585978708892e+002	(-3.51765726833058e+001dB,-9.13694658211011e+001°)
1.31039340385837e+002	(-3.51464785012366e+001dB,-9.13739545975840e+001°)
1.31494276020508e+002	(-3.51163843802615e+001dB,-9.13784598698712e+001°)
1.31950791077290e+002	(-3.50862903208069e+001dB,-9.13829816920016e+001°)
1.32408891039540e+002	(-3.50561963233022e+001dB,-9.13875201182120e+001°)
1.32868581409652e+002	(-3.50261023881795e+001dB,-9.13920752029378e+001°)
1.33329867709120e+002	(-3.49960085158741e+001dB,-9.13966470008139e+001°)
1.33792755478612e+002	(-3.49659147068242e+001dB,-9.14012355666749e+001°)
1.34257250278027e+002	(-3.49358209614713e+001dB,-9.14058409555561e+001°)
1.34723357686569e+002	(-3.49057272802596e+001dB,-9.14104632226940e+001°)
1.35191083302813e+002	(-3.48756336636365e+001dB,-9.14151024235270e+001°)
1.35660432744768e+002	(-3.48455401120528e+001dB,-9.14197586136961e+001°)
1.36131411649948e+002	(-3.48154466259618e+001dB,-9.14244318490455e+001°)
1.36604025675440e+002	(-3.47853532058206e+001dB,-9.14291221856230e+001°)
1.37078280497971e+002	(-3.47552598520890e+001dB,-9.14338296796814e+001°)
1.37554181813975e+002	(-3.47251665652302e+001dB,-9.14385543876784e+001°)
1.38031735339663e+002	(-3.46950733457106e+001dB,-9.14432963662776e+001°)
1.38510946811093e+002	(-3.46649801939997e+001dB,-9.14480556723491e+001°)
1.38991821984234e+002	(-3.46348871105705e+001dB,-9.14528323629704e+001°)
1.39474366635041e+002	(-3.46047940958990e+001dB,-9.14576264954267e+001°)
1.39958586559520e+002	(-3.45747011504646e+001dB,-9.14624381272119e+001°)
1.40444487573800e+002	(-3.45446082747501e+001dB,-9.14672673160290e+001°)
1.40932075514202e+002	(-3.45145154692417e+001dB,-9.14721141197911e+001°)
1.41421356237310e+002	(-3.44844227344287e+001dB,-9.14769785966218e+001°)
1.41912335620039e+002	(-3.44543300708040e+001dB,-9.14818608048560e+001°)
1.42405019559708e+002	(-3.44242374788638e+001dB,-9.14867608030408e+001°)
1.42899413974110e+002	(-3.43941449591080e+001dB,-9.14916786499357e+001°)
1.43395524801583e+002	(-3.43640525120396e+001dB,-9.14966144045137e+001°)
1.43893358001083e+002	(-3.43339601381653e+001dB,-9.15015681259620e+001°)
1.44392919552250e+002	(-3.43038678379953e+001dB,-9.15065398736824e+001°)
1.44894215455488e+002	(-3.42737756120433e+001dB,-9.15115297072923e+001°)
1.45397251732032e+002	(-3.42436834608266e+001dB,-9.15165376866253e+001°)
1.45902034424018e+002	(-3.42135913848660e+001dB,-9.15215638717318e+001°)
1.46408569594563e+002	(-3.41834993846859e+001dB,-9.15266083228799e+001°)
1.46916863327831e+002	(-3.41534074608145e+001dB,-9.15316711005559e+001°)
1.47426921729111e+002	(-3.41233156137836e+001dB,-9.15367522654653e+001°)
1.47938750924884e+002	(-3.40932238441285e+001dB,-9.15418518785333e+001°)
1.48452357062906e+002	(-3.40631321523885e+001dB,-9.15469700009055e+001°)
1.48967746312271e+002	(-3.40330405391065e+001dB,-9.15521066939489e+001°)
1.49484924863494e+002	(-3.40029490048290e+001dB,-9.15572620192521e+001°)
1.50003898928582e+002	(-3.39728575501066e+001dB,-9.15624360386266e+001°)
1.50524674741107e+002	(-3.39427661754935e+001dB,-9.15676288141073e+001°)
1.51047258556283e+002	(-3.39126748815479e+001dB,-9.15728404079529e+001°)
1.51571656651040e+002	(-3.38825836688317e+001dB,-9.15780708826474e+001°)
1.52097875324102e+002	(-3.38524925379108e+001dB,-9.15833203009001e+001°)
1.52625920896057e+002	(-3.38224014893550e+001dB,-9.15885887256467e+001°)
1.53155799709439e+002	(-3.37923105237381e+001dB,-9.15938762200499e+001°)
1.53687518128802e+002	(-3.37622196416377e+001dB,-9.15991828475004e+001°)
1.54221082540795e+002	(-3.37321288436357e+001dB,-9.16045086716173e+001°)
1.54756499354240e+002	(-3.37020381303178e+001dB,-9.16098537562491e+001°)
1.55293775000209e+002	(-3.36719475022738e+001dB,-9.16152181654743e+001°)
1.55832915932101e+002	(-3.36418569600977e+001dB,-9.16206019636023e+001°)
1.56373928625719e+002	(-3.36117665043875e+001dB,-9.16260052151741e+001°)
1.56916819579351e+002	(-3.35816761357455e+001dB,-9.16314279849629e+001°)
1.57461595313841e+002	(-3.35515858547779e+001dB,-9.16368703379752e+001°)
1.58008262372676e+002	(-3.35214956620953e+001dB,-9.16423323394514e+001°)
1.58556827322058e+002	(-3.34914055583126e+001dB,-9.16478140548663e+001°)
